Companies,Employees,Total Revenue (FY),Revenue per Employee (FY),ROA (Return on Asset) (FY),ROIC (Return on Invested Capital) (FY),Net Profit Margin (FY),EBITDA Margin (FY),Revenue % Growth (FY),Net Debt (FY),Debt to Capital (FY),Total Assets (FY),Price % Change YTD,EV (FY),HQ State/Province,Primary Industry Group,CEO,CEO Total Compensation (in millions)
TaskUs (NAS: TASK),"48,200","960,489.00","19,403.82",5.07,6.82,4.21,13.98,26.26,"177,561",0.41,"902,015.00",(22.66),"1,835,166",Texas,Commercial Services,Bryce Maddock,4.08
Leidos Holdings (NYS: LDOS),"48,000","14,396,000.00","319,911.11",9.64,8.63,4.81,9.91,4.80,"4,974,000",0.56,"13,071,000.00",2.90,"19,217,375",Virginia,Commercial Services,Thomas Bell,9.19
Fiserv (NYS: FI),"38,000","17,737,000.00","432,609.76",3.66,5.98,14.56,38.42,9.31,"20,640,000",0.41,"83,869,000.00",31.43,"85,481,288",Wisconsin,Software,Frank Bisignano,27.94
Broadcom (General Purpose Semiconductors) (NAS: AVGO),"37,000","35,819,000.00","1,790,950.00",4.06,24.29,39.31,55.89,7.88,"25,040,000",0.62,"72,861,000.00",99.64,"374,549,271",California,Semiconductors,Hock Tan,161.83
Nvidia (NAS: NVDA),"36,000","26,974,000.00","1,029,699.19",83.65,12.17,16.19,21.20,0.22,"(1,265,000)",0.35,"41,182,000.00",238.87,"479,215,200",California,Computer Hardware,Jen-Hsun Huang,21.36
MasterCard (NYS: MA),"35,300","22,237,000.00","743,712.37",28.90,49.09,44.66,58.25,17.76,"6,615,000",0.69,"38,724,000.00",22.66,"340,899,408",New York,Other Financial Services,Michael Miebach,25.75
Texas Instruments (NAS: TXN),"34,000","20,028,000.00","606,909.09",13.86,40.50,43.68,56.05,9.18,"(332,000)",0.37,"27,207,000.00",3.17,"148,795,998",Texas,Semiconductors,Haviv Ilan,16.20
NXP Semiconductors (NAS: NXPI),"33,100","13,205,000.00","382,753.62",10.69,17.35,21.45,37.71,19.36,"7,547,000",0.60,"23,236,000.00",45.34,"48,633,082",,Semiconductors,Kurt Sievers,21.12
Visa (NYS: V),"31,600","32,653,000.00","1,133,784.72",21.47,30.34,52.90,69.29,11.41,"335,000",0.36,"90,499,000.00",25.31,"480,178,324",California,Other Financial Services,Ryan McInerney,22.60
Uber (NYS: UBER),"31,100","31,877,000.00","971,859.76",22.56,(41.79),(28.67),(25.26),82.62,"6,828,000",0.60,"32,109,000.00",148.97,"56,692,694",California,Transportation,Dara Khosrowshahi,24.25
Adobe (NAS: ADBE),"30,709","19,409,000.00","663,805.19",18.71,28.61,27.97,40.11,10.24,"(3,762,000)",0.20,"29,779,000.00",77.28,"274,772,853",California,Software,Shantanu Narayen,44.93
Seagate Technology (NAS: STX),"30,000","7,384,000.00","221,077.84",4.56,(4.98),(7.16),4.33,(36.68),"4,665,000",1.28,"7,556,000.00",62.27,"18,004,186",California,Computer Hardware,William Mosley,11.44
Advanced Micro Devices (NAS: AMD),"28,000","23,601,000.00","944,040.00",2.40,2.80,5.59,23.17,43.61,"(2,992,000)",0.05,"67,580,000.00",127.59,"101,731,309",California,Semiconductors,Lisa Su,30.35
Global Payments (NYS: GPN),"27,000","8,975,515.00","359,020.60",3.29,1.27,1.60,25.65,5.30,"12,288,331",0.39,"44,809,014.00",27.87,"38,963,365",Georgia,Other Financial Services,Cameron Bready,16.00
ON Semiconductor (NAS: ON),"26,490","8,326,200.00","267,646.02",11.52,22.95,22.87,35.95,23.54,"311,700",0.34,"11,978,500.00",33.93,"27,752,458",Arizona,Semiconductors,Hassane El-Khoury,19.97
ServiceNow (NYS: NOW),"26,293","7,245,000.00","354,573.48",7.75,3.99,4.49,10.35,22.88,"(2,048,000)",0.31,"13,299,000.00",81.96,"76,599,540",California,Software,William Mcdermott,37.61
SS&C Technologies (NAS: SSNC),"26,000","5,283,000.00","191,413.04",4.24,6.56,12.28,35.12,4.59,"6,876,500",0.55,"16,653,300.00",17.38,"20,255,877",Connecticut,Software,William Stone,20.10
CACI International (NYS: CACI),"24,000","6,702,546.00","291,415.04",6.25,8.74,5.74,10.58,8.05,"1,956,297",0.39,"6,600,808.00",7.74,"9,743,968",Virginia,IT Services,John Mengucci,10.52
Science Applications International (NAS: SAIC),"24,000","7,704,000.00","296,307.69",8.47,9.32,3.93,8.44,4.19,"2,417,000",0.60,"5,543,000.00",12.07,"8,154,425",Virginia,Other Business Products and Services,Nazzic Keene,8.66
Exela Technologies (PINX: XELA),"23,000","1,077,157.00",,(18.34),(52.37),(38.58),(16.22),(7.67),"1,139,594",3.98,"721,912.00",(79.51),"1,164,047",Texas,IT Services,Suresh Yannamani,0.85
Microchip Technology (NAS: MCHP),"22,300","8,438,700.00","373,393.81",11.70,17.92,26.52,48.59,23.72,"6,237,400",0.50,"16,370,300.00",28.37,"52,227,840",Arizona,Semiconductors,Ganesh Moorthy,12.28
Gartner (NYS: IT),"21,044","5,475,846.00","280,812.62",15.93,27.80,14.75,24.48,15.67,"2,460,392",0.93,"7,299,736.00",34.20,"29,111,198",Connecticut,Commercial Services,Eugene Hall,16.30
Diebold Nixdorf (NYS: DBD),"21,000","3,460,700.00","164,795.24",(0.38),(33.02),(16.92),(3.57),(11.38),"2,393,500",2.06,"3,065,000.00",40.74,,Ohio,Consumer Durables,Octavio Marquez,2.25
Motorola Solutions (NYS: MSI),"21,000","9,112,000.00","455,600.00",11.55,25.68,15.00,23.94,11.52,"5,226,000",0.98,"12,814,000.00",21.49,"48,673,939",Illinois,Computer Hardware,Gregory Brown,28.18
NCR Atleos (NYS: NATL),"20,000","4,131,000.00",,1.61,3.23,2.59,10.82,16.40,"591,000",0.21,"5,772,000.00",5.61,,Georgia,Software,Timothy Oliver,8.99
Synopsys (NAS: SNPS),"20,000","5,318,014.00","261,971.13",12.49,17.79,22.85,28.15,15.22,"(908,009)",0.10,"10,333,131.00",61.27,"70,290,150",California,Software,Sassine Ghazi,10.07
Parsons (NYS: PSN),"19,600","4,195,272.00","246,780.71",5.57,5.01,3.02,7.36,14.60,"653,873",0.31,"4,198,142.00",35.59,"5,566,443",Virginia,Commercial Services,Carey Smith,18.60
American Express Global Business Travel (NYS: GBTG),"19,000","1,851,000.00","97,421.05",(3.57),(5.90),(12.37),(0.38),142.60,"997,000",0.90,"3,728,000.00",(4.44),"2,530,336",New York,Commercial Services,Paul Abbott,18.26
Intuit (NAS: INTU),"18,800","14,368,000.00","789,450.55",9.90,10.41,16.59,27.40,12.90,"3,027,000",0.28,"27,780,000.00",60.59,"146,234,560",California,Software,Sasan Goodarzi,27.31
Workday (NAS: WDAY),"18,800","6,216,000.00","351,186.44",3.17,(4.24),(5.90),1.75,20.96,"(2,872,000)",0.37,"13,486,000.00",64.98,"44,396,719",California,Software,Carl Eschenbach,102.69
Lam Research (NAS: LRCX),"18,300","17,428,516.00","1,013,285.81",20.55,35.77,25.88,31.55,1.17,"(325,515)",0.38,"18,781,643.00",86.36,"85,997,997",California,Semiconductors,Timothy Archer,18.31
Roper Technologies (NAS: ROP),"18,200","5,371,800.00","339,987.34",5.13,5.40,18.35,39.55,11.13,"5,915,300",0.29,"26,980,800.00",26.17,"50,589,032",Florida,Software,L. Neil Hunn,41.30
Xerox (NAS: XRX),"16,800","7,107,000.00","346,682.93",(14.32),(3.05),(4.53),0.35,0.98,"2,910,000",0.54,"11,543,000.00",25.55,"5,320,799",Connecticut,Computer Hardware,Steven Bandrowczak,12.84
Paychex (NAS: PAYX),"16,500","5,007,100.00","301,632.53",14.52,37.40,31.10,44.54,8.57,"(729,700)",0.20,"10,546,400.00",3.07,"37,142,397",New York,Commercial Services,John Gibson Jr.,6.68
Unisys (NYS: UIS),"15,900","1,979,900.00","122,216.05",(10.21),(15.88),(5.30),7.74,(3.63),"177,000",1.03,"2,065,600.00",9.98,"593,694",Pennsylvania,IT Services,Peter Altabef JD,6.13
Palo Alto Networks (NAS: PANW),"15,758","6,892,700.00","494,171.21",15.07,6.25,6.38,9.35,25.29,"(119,300)",0.56,"14,501,100.00",111.32,"76,439,872",California,Software,Nikesh Arora,151.43
Keysight Technologies (NYS: KEYS),"15,400","5,464,000.00","366,711.41",6.77,15.76,19.34,28.28,0.81,"(446,000)",0.30,"8,683,000.00",(7.00),"21,122,987",California,Computer Hardware,Satish Dhanasekaran,10.75
Autodesk (NAS: ADSK),"15,300","5,005,000.00","365,328.47",(4.25),23.06,16.44,23.76,14.11,"594,000",0.70,"9,438,000.00",30.29,"47,655,534",California,Software,Andrew Anagnost,17.60
CDW (NAS: CDW),"15,100","23,748,700.00","1,572,761.59",7.79,16.06,4.69,8.48,14.06,"5,782,700",0.79,"13,131,500.00",27.29,"30,565,922",Illinois,Computer Hardware,Christina Leahy JD,9.02
Broadridge Financial Solutions (NYS: BR),"14,600","6,060,900.00","412,306.12",10.97,12.07,10.40,22.36,6.16,"3,400,300",0.62,"8,233,200.00",53.40,"23,536,017",New York,Other Financial Services,Timothy Gokey,12.24
Fortinet (NAS: FTNT),"14,138","4,417,400.00","350,726.48",8.56,91.29,19.39,24.01,32.17,"(1,220,600)",1.40,"6,228,000.00",19.72,"37,466,029",California,Computer Hardware,Ken Xie,16.30
Ncr Voyix (NYS: VYX),"14,000","3,174,000.00","205,032.26",20.98,(6.99),(11.63),17.80,0.00,"2,570,000",0.99,"4,990,000.00",17.77,"9,840,692",Georgia,Computer Hardware,David Wilkinson,1.88
Cadence Design Systems (NAS: CDNS),"12,700","3,561,718.00","349,188.04",14.36,26.18,23.84,33.51,19.19,600,0.24,"5,137,071.00",69.55,"43,837,870",California,Computer Hardware,Anirudh Devgan,17.34
Clarivate (NYS: CLVT),"12,000","2,659,800.00","225,406.78",(5.24),(24.60),(148.89),(113.10),41.71,"4,746,800",0.48,"13,944,900.00",11.03,"12,147,735",Jersey,Commercial Services,Jonathan Gear,12.48
Upbound Group (NAS: UPBD),"11,970","3,992,413.00","307,819.04",4.68,,(0.13),5.36,(5.96),,2.27,"2,721,430.00",50.64,"3,277,577",Texas,Commercial Services,Mitchell Fadel,9.79
Block (NYS: XYZ),"11,372","21,915,623.00","1,687,764.57",7.99,(0.24),(0.10),1.52,25.01,"(3,001,000)",0.24,"33,031,308.00",23.09,"43,714,241",California,Software,Brian Grassadonia,12.05
Corpay (NYS: CPAY),"11,200","3,427,129.00","346,174.65",6.04,11.54,27.85,53.13,20.94,"5,601,731",0.73,"14,089,260.00",53.86,"19,450,500",Georgia,Software,Ronald Clarke,2.67
Akamai Technologies (NAS: AKAM),"10,700","3,616,654.00","369,046.33",5.00,7.09,14.48,34.80,4.49,"2,069,301",0.42,"8,303,400.00",40.39,"15,544,707",Massachusetts,Software,F. Leighton,13.38
Euronet Worldwide (NAS: EEFT),"10,600","3,358,800.00","353,557.89",5.14,8.48,6.87,14.71,12.13,"118,300",0.59,"5,403,600.00",7.53,"4,942,462",Kansas,Software,Michael Brown,13.82
Skyworks Solutions (NAS: SWKS),"10,100","4,772,400.00","489,476.92",7.18,13.36,20.59,36.81,(13.00),"774,900",0.20,"8,426,700.00",23.36,"16,690,314",California,Semiconductors,Liam Griffin,17.26
Zebra Technologies (NAS: ZBRA),"9,900","5,781,000.00","550,571.43",7.00,9.60,8.01,12.54,2.74,"2,094,000",0.45,"7,529,000.00",6.60,"15,503,397",Illinois,Computer Hardware,William J. Burns,11.26
CrowdStrike Holdings (NAS: CRWD),"9,666","2,241,236.00","308,158.39",(0.22),(10.09),(8.13),(4.16),54.40,"(1,921,751)",0.35,"5,026,540.00",142.49,"23,148,135",Texas,Software,George Kurtz,36.53
Dayforce (Business/Productivity Software) (NYS: DAY),"9,600","1,246,200.00","146,164.67",0.20,(1.51),(5.89),4.39,21.68,"823,000",0.37,"8,463,500.00",4.63,"10,704,811",Minnesota,Software,David Ossip,13.59
Alight Solutions (NYS: ALIT),"9,500","2,207,000.00","122,611.11",(1.45),(0.55),(6.34),15.72,(24.29),"2,753,000",0.40,"11,235,000.00",2.03,"7,427,834",Illinois,Commercial Services,Stephen Scholl,7.95
HubSpot (NYS: HUBS),"8,246","2,170,230.00","283,208.93",0.14,(10.81),(7.58),(6.13),25.38,"(600,418)",0.37,"3,071,392.00",100.79,"28,408,938",Massachusetts,Software,Yamini Rangan,25.90
Snowflake (NYS: SNOW),"7,527","2,065,659.00","351,063.73",(16.24),(15.54),(38.61),(40.00),69.41,"(3,756,210)",0.04,"7,722,322.00",38.64,"46,634,992",Montana,Software,Frank Slootman,23.70
PTC (NAS: PTC),"7,501","2,097,053.00","290,008.71",6.02,7.84,11.71,28.31,8.47,"1,600,874",0.41,"6,288,842.00",45.75,"18,487,836",Massachusetts,Software,Neil Barua,14.21
Zoom Communications (NAS: ZM),"7,412","4,392,960.00","517,793.49",9.64,1.72,2.36,7.55,7.15,"(5,316,189)",0.02,"8,128,065.00",6.16,"16,859,031",California,Software,Eric Yuan,75.96
Tyler Technologies (NYS: TYL),"7,400","1,850,204.00","256,972.78",5.42,5.08,8.88,20.97,16.20,"835,287",0.29,"4,687,417.00",29.69,"14,336,365",Texas,Other Business Products and Services,H. Lynn Moore Jr.,9.00
CSG International (NAS: CSGS),"7,396","1,089,752.00","191,184.56",6.22,6.37,4.04,14.07,4.13,"336,752",0.58,"1,348,553.00",(6.98),"2,164,513",Colorado,IT Services,Brian Sheperd,8.00
Zscaler (NAS: ZS),"7,348","1,616,952.00","271,209.66",(1.44),(13.97),(12.51),(10.49),48.22,"(889,687)",0.63,"3,608,317.00",98.00,"22,644,397",California,IT Services,Jagtar Chaudhry,57.78
Paycom (NYS: PAYC),"7,306","1,375,200.00","216,601.04",11.11,26.71,20.46,35.25,30.29,"(371,730)",0.02,"3,902,513.00",(33.38),"17,668,380",Oklahoma,Software,Chad Richison,3.12
Jack Henry & Associates (NAS: JKHY),"7,200","2,077,702.00","291,812.08",13.68,21.14,17.65,32.32,6.94,"262,757",0.15,"2,773,826.00",(6.92),"12,542,674",Missouri,Commercial Services,Gregory Adelson,2.45
Nutanix (NAS: NTNX),"7,150","1,862,895.00","288,820.93",(4.89),(39.97),(13.66),(7.06),17.85,"(120,723)",2.16,"2,526,915.00",83.07,"7,073,258",California,Software,Rajiv Ramaswami,14.85
DocuSign (NAS: DOCU),"6,840","2,515,915.00","342,954.61",2.35,(7.44),(3.87),(0.07),19.40,"(143,376)",0.59,"3,012,720.00",7.27,"12,055,518",California,Software,Allan Thygesen,85.04
Innodata (NAS: INOD),"6,648","79,001.00","18,769.54",36.71,(45.61),(15.20),(8.33),13.25,"(5,570)",0.20,"48,042.00",174.54,"74,390",New Jersey,Software,Jack Abuhoff JD,0.96
F5 (IT Consulting and Outsourcing) (NAS: FFIV),"6,557","2,813,169.00","431,203.10",10.49,13.09,14.04,21.28,4.35,"(522,337)",0.09,"5,248,333.00",24.72,"9,158,262",Washington,IT Services,Francois Locoh-Donou,10.86
Ansys (NAS: ANSS),"6,500","2,269,949.00","366,120.81",7.69,8.98,22.05,31.86,9.90,"(106,499)",0.12,"7,322,875.00",50.20,"31,738,773",Pennsylvania,Software,Ajei Gopal,24.63
WEX (NYS: WEX),"6,500","2,350,600.00","385,344.26",2.22,4.24,7.12,24.33,27.02,"407,500",0.62,"11,529,200.00",18.88,"7,796,179",Maine,Software,Melissa Smith,11.65
Paylocity (NAS: PCTY),"6,400","1,174,598.00","192,557.05",4.92,18.14,11.99,18.69,37.76,"(218,496)",0.08,"3,695,680.00",(15.14),"10,137,483",Illinois,Software,Toby Williams,21.67
Sabre Corporation (NAS: SABR),"6,253","2,907,738.00","466,581.84",(5.95),(4.69),(18.17),3.54,14.61,"4,185,294",1.40,"4,672,194.00",(28.80),"5,915,980",Texas,Software,Kurt Ekert,8.48
Okta (NAS: OKTA),"5,914","1,858,000.00","308,997.17",0.31,(10.51),(43.86),(38.05),42.92,"(213,000)",0.30,"9,307,000.00",32.49,"11,663,591",California,Software,Todd McKinnon,0.41
Rackspace Technology (NAS: RXT),"5,800","3,122,300.00","459,161.76",(25.07),(12.40),(25.78),(7.74),3.75,"3,623,700",0.86,"5,456,700.00",(32.20),"4,230,874",Texas,IT Services,Amar Maletira,13.40
Teradata (NYS: TDC),"5,700","1,795,000.00","256,428.57",6.63,4.51,1.84,11.70,(6.36),"68,000",0.71,"2,022,000.00",29.26,"3,548,588",California,Software,Stephen McMillan,14.73
Toast (NYS: TOST),"5,700","2,731,000.00","606,888.89",0.88,(23.53),(10.07),(9.67),60.18,"(927,000)",0.08,"1,761,000.00",1.28,"8,429,907",Massachusetts,Computer Hardware,Aman Narang,4.77
Twilio (NYS: TWLO),"5,535","3,826,321.00","469,141.86",(1.03),(10.43),(32.83),(25.21),34.64,"(2,915,753)",0.11,"12,564,304.00",54.96,"6,069,518",California,Software,Khozema Shipchandler,14.12
GoDaddy (NYS: GDDY),"5,518","4,091,300.00","592,083.94",11.86,13.30,8.63,17.05,7.22,"3,206,900",1.09,"6,973,500.00",41.89,"14,798,823",Arizona,IT Services,Amanpal Bhutani,15.88
Bentley Systems (NAS: BSY),"5,500","1,099,082.00","219,816.40",7.01,9.02,15.90,27.70,13.89,"1,751,354",0.76,"3,165,005.00",41.18,"12,411,603",Pennsylvania,Software,Nicholas Cumins,2.59
Pegasystems (NAS: PEGA),"5,406","1,432,616.00","265,004.81",6.27,8.21,4.73,,8.71,"142,931",0.62,"1,510,736.00",42.70,"4,329,392",Massachusetts,Software,Alan Trefler,5.55
Informatica (NYS: INFA),"5,200","1,505,118.00","250,853.00",0.19,0.02,(3.57),16.25,4.23,"1,197,067",0.48,"4,970,899.00",74.28,"5,873,466",California,Software,Amit Walia,41.44
MongoDB (NAS: MDB),"5,037","1,284,040.00","277,990.91",(4.11),(19.09),(26.90),(24.86),46.95,"(651,800)",0.62,"2,588,893.00",107.71,"14,239,119",New York,Software,Dev Ittycheria,13.23
Unity Software (NYS: U),"4,987","1,391,024.00","180,582.11",(9.73),(20.11),(66.10),(48.21),25.26,"1,120,376",0.43,"7,833,985.00",43.02,"11,647,822",California,Software,Barry Schuler,0.31
IPG Photonics (NAS: IPGP),"4,740","1,429,547.00","229,461.80",(7.30),3.89,7.75,18.28,(2.14),"(1,139,531)",0.02,"2,743,280.00",14.65,"3,398,724",Massachusetts,Communications and Networking,Eugene Scherbakov,5.73
Grid Dynamics (NAS: GDYN),"4,730","310,482.00","81,748.82",0.85,(10.34),(9.41),(3.66),46.95,"(248,588)",0.02,"411,146.00",18.81,"580,616",California,IT Services,Leonard Livschitz,5.82
Dynatrace (NYS: DT),"4,700","1,158,530.00","277,160.29",5.27,6.75,9.32,12.77,24.65,"(480,176)",0.04,"2,765,347.00",42.79,"11,879,022",Massachusetts,Software,Rick Mcconnell,14.56
Manhattan Associates (NAS: MANH),"4,690","767,084.00","184,839.52",31.47,53.71,16.81,21.40,15.59,"(211,398)",0.06,"570,178.00",77.36,"7,395,108",Georgia,Software,Eddie Capel,10.36
Palantir Technologies (NAS: PLTR),"4,613","1,905,871.00","496,579.21",8.79,(14.54),(19.47),(18.83),23.61,"(2,384,271)",0.09,"3,461,239.00",167.45,"11,131,356",Colorado,Software,Alexander Karp,3.50
Arista Networks (NYS: ANET),"4,412","4,381,310.00","1,212,987.26",24.16,30.73,30.87,36.91,48.62,"(3,023,729)",0.00,"6,775,410.00",94.07,"34,148,233",California,IT Services,Jayshree Ullal,15.56
Freshworks (NAS: FRSH),"4,400","497,999.00","92,222.04",(6.23),(21.35),(46.61),(44.55),34.22,"(1,112,539)",0.03,"1,380,216.00",59.69,"3,113,690",California,Software,Dennis Woodside,0.96
Cloudflare (NYS: NET),"4,263","975,241.00","303,152.32",(2.65),(9.39),(19.83),(10.08),48.57,"(72,846)",0.72,"2,587,908.00",84.16,"14,788,445",California,Software,Matthew Prince,20.52
RingCentral (NYS: RNG),"4,260","1,988,330.00","509,566.89",(3.15),(53.48),(44.22),(31.32),24.68,"1,406,122",1.40,"2,073,662.00",(4.10),"4,969,650",California,Software,Vladimir Shmunis,21.14
Procore Technologies (NYS: PCOR),"4,203","720,203.00","201,850.62",(5.37),(23.45),(39.84),(31.54),39.89,"(498,540)",0.07,"1,740,410.00",46.71,"6,038,943",California,Software,Craig Courtemanche Jr.,12.92
UiPath (NYS: PATH),"4,035","1,058,581.00","276,175.58",(3.26),(18.05),(31.02),(30.87),18.64,"(1,693,454)",0.03,"2,735,206.00",95.44,"6,876,285",New York,Software,Daniel Dines,0.77
Clear Secure (NYS: YOU),"4,022","613,579.00","165,921.85",22.09,,8.13,7.05,40.27,,1.30,"1,045,009.00",(24.72),"1,451,229",New York,Software,Cary Seidman-Becker,1.20
Monolithic Power Systems (NAS: MPWR),"4,017","1,794,148.00","552,555.59",6.26,29.59,24.39,30.53,48.55,"(736,209)",0.01,"2,058,885.00",78.38,"15,863,114",Washington,Semiconductors,Michael Hsing,14.64
Shift4 Payments (NYS: FOUR),"4,000","1,993,600.00","866,782.61",7.23,5.02,4.35,12.93,45.78,"1,062,800",0.84,"2,554,000.00",32.92,"4,373,391",Pennsylvania,Software,Jared Isaacman,8.94
Aspen Technology (NAS: AZPN),"3,937","1,044,178.00","267,737.95",(0.07),(1.00),(10.32),26.71,116.49,"(172,839)",0.01,"14,486,052.00",7.18,"10,656,426",Massachusetts,Software,Antonio Pietri,1.40
